,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
30,739,Sector 26A,28.4294813,77.1415056,Ansal plaza GURUGRAM ,Vehicle Pollution,2024-09-27 03:09:16.479542,IMG_20240927_083649.jpg,person 20,5000648,5000648,TARA093,,,62.2,224.1,32.5,0.97,,,32.3,63.0,2024-09-27 08:36:00,2024-09-27,2024-09,Moderate
31,740,Sector 26,28.4680256,77.1095031,Too much waste garbage,Construction & Demolition Waste,2024-09-27 03:21:09.635784,IMG_20240927_084924.jpg,person 20,5000938,5000938,TARA093,,,38.0,133.8,14.0,0.86,,,33.6,61.0,2024-09-27 08:42:00,2024-09-27,2024-09,Good
32,744,Sector 5,28.4852246,77.0201455,Sector 5,Vehicle Pollution,2024-09-27 06:10:45.970242,IMG20240927113926.jpg,person 25,5009461,5009461,TARA097,,,50.9,68.8,38.0,2.5,,,31.5,62.0,2024-09-27 11:38:00,2024-09-27,2024-09,Moderate
33,745,Sector 7,28.4627323,77.0107699,Vehicle pollution,Vehicle Pollution,2024-09-27 09:41:56.860730,1000007769.jpg,person 14,5019636,5019636,TARA080,28.46282,77.010796,26.8,58.1,21.0,,532.0,,36.8,43.0,2024-09-27 15:10:00,2024-09-27,2024-09,Good
34,747,Sector 5,28.4791154,77.0346773,Sector 5,Vehicle Pollution,2024-09-28 03:57:59.971082,IMG20240928092457.jpg,person 25,5068152,5068152,TARA097,28.478687,77.033226,203.3,412.2,41.0,2.5,,,30.8,59.0,2024-09-28 09:24:00,2024-09-28,2024-09,Very Unhealthy
35,748,IFFCO Chowk,28.4701707,77.072096,Vehicle and roadside waste pollution ,Vehicle Pollution,2024-09-28 07:44:08.932480,1000009096.jpg,person 14,5078976,5078976,TARA080,,,45.3,61.2,30.0,,643.0,,32.2,59.0,2024-09-28 13:12:00,2024-09-28,2024-09,Good
36,749,IFFCO Chowk,28.4770309,77.0688583,"the emission of harmful substances such as carbon monoxide, hydrocarbons, and particulate matter from motor vehicles, leading to air pollution and adverse health effects on humans",Vehicle Pollution,2024-09-28 07:48:53.421457,1000075996.jpg,person 12,5079149,5079149,TARA010,,,63.6,85.9,32.13,2.01,,,32.7,54.0,2024-09-28 13:16:00,2024-09-28,2024-09,Moderate
37,750,Gurugram,28.3512017,77.0602378,Air pollution ,Waste Burning,2024-09-28 08:46:28.349615,IMG_20240928_141103.jpg,person 1,5081862,5081862,TARA085,28.35116,77.060539,17.5,28.3,19.0,0.84,,,37.5,46.0,2024-09-28 14:13:00,2024-09-28,2024-09,Good
38,752,Block C-1 & C-2,28.48507722,77.01578021,Block C-1 C-2 ,Vehicle Pollution,2024-09-29 12:18:49.648933,IMG20240929174540.jpg,person 25,5078775,5078775,TARA097,28.458204,77.074226,59.5,147.0,16.0,1.2,,,36.1,50.0,2024-09-28 13:08:00,2024-09-28,2024-09,Moderate
39,755,Sector 16,28.4682174,77.0434581,Muddy road,Construction & Demolition Waste,2024-09-30 03:23:23.765492,1000009337.jpg,person 14,5196443,5196443,TARA080,28.466669,77.041283,242.9,411.2,16.0,,1049.0,,34.3,59.0,2024-09-30 08:51:00,2024-09-30,2024-09,Very Unhealthy
